regime,case,method,action,net_utility,regret,outcome_lower_tail_mean,severe_loss_probability,worst_group_expected_score,predicted_net_utility,latent_brier,false_low_risk,baseline,cost,steps,planner_nodes
matched,3,random,mechanism_repair,13.31446384677657,4.810531164965765,-1.0319057769702678,0.01,0.849172462298449,1.7337282847155802,0.619078982121468,0,0,4.810531164965765,2,0
matched,3,entropy,mechanism_repair,13.05158317189551,5.073411839846825,-1.0319057769702678,0.01,0.849172462298449,10.2970532950991,0.023070693630121136,0,0,5.073411839846825,2,0
matched,3,myopic,mechanism_repair,15.727587599216122,2.3974074125262135,-1.0319057769702678,0.01,0.849172462298449,9.17155401514398,0.1984065974471296,0,0,2.397407412526214,1,2
matched,3,sequential,mechanism_repair,15.727587599216122,2.3974074125262135,-1.0319057769702678,0.01,0.849172462298449,9.17155401514398,0.1984065974471296,0,0,2.397407412526214,1,8
matched,4,stop,mechanism_repair,-0.1952022675371453,16.99670828302351,-17.30950227799267,0.01,-6.055973962748795,10.392080772767262,0.8433078970882854,0,0,0.0,0,0
matched,4,fixed,mechanism_repair,-3.3839843983751248,20.185490413861487,-17.30950227799267,0.01,-6.055973962748795,14.25434596607089,1.6775427654365467,0,0,3.1887821308379793,2,0
matched,4,random,mechanism_repair,-3.3839843983751248,20.185490413861487,-17.30950227799267,0.01,-6.055973962748795,14.25434596607089,1.6775427654365467,0,0,3.1887821308379793,2,0
matched,4,entropy,mechanism_repair,-1.3644046300364847,18.16591064552285,-17.30950227799267,0.01,-6.055973962748795,6.6754702709206555,0.3928427459075307,0,0,1.1692023624993395,2,0
matched,4,myopic,mechanism_repair,-0.1952022675371453,16.99670828302351,-17.30950227799267,0.01,-6.055973962748795,10.392080772767262,0.8433078970882854,0,0,0.0,0,1
matched,4,sequential,mechanism_repair,-0.6929046695954373,17.494410685081803,-17.30950227799267,0.01,-6.055973962748795,11.946762548492234,0.8614497212002827,0,0,0.497702402058292,1,8
matched,5,stop,mechanism_repair,18.777438985139746,0.0,-1.0690512054165668,0.01,0.8797400544573837,5.675044764603586,0.6491467344045807,0,0,0.0,0,0
matched,5,fixed,mechanism_repair,16.573980463803313,2.203458521336433,-1.0690512054165668,0.01,0.8797400544573837,10.276575146390268,0.17565424520018275,0,0,2.203458521336433,2,0
matched,5,random,mechanism_repair,16.573980463803313,2.203458521336433,-1.0690512054165668,0.01,0.8797400544573837,10.276575146390265,0.17565424520018283,0,0,2.203458521336433,2,0
matched,5,entropy,mechanism_repair,17.240146519130885,1.5372924660088607,-1.0690512054165668,0.01,0.8797400544573837,13.548884172155681,0.06990713876439603,0,0,1.5372924660088598,2,0
matched,5,myopic,mechanism_repair,18.245223826038114,0.5322151591016322,-1.0690512054165668,0.01,0.8797400544573837,13.467799804877853,0.08630364334630694,0,0,0.532215159101631,1,2
matched,5,sequential,mechanism_repair,18.245223826038114,0.5322151591016322,-1.0690512054165668,0.01,0.8797400544573837,13.467799804877853,0.08630364334630694,0,0,0.532215159101631,1,8
matched,6,stop,mechanism_repair,-8.642309928338065,28.91523593959272,-97.6822656980507,0.08,-10.333755476477997,8.649972897799897,0.8183032855809799,0,0,0.0,0,0
matched,6,fixed,source_repair,17.430834930846327,2.842091080408327,-2.3649390642685963,0.01,2.287821486085924,12.304381571108546,0.056897138292650216,0,0,2.842091080408328,2,0
matched,6,random,source_repair,16.035972992466753,4.236953018787901,-2.3649390642685963,0.01,2.287821486085924,8.146863056755205,0.14387293882904645,0,0,4.236953018787902,2,0
matched,6,entropy,source_repair,17.731367408631662,2.5415586026229917,-2.3649390642685963,0.01,2.287821486085924,15.640948047065637,0.014331842680927461,0,0,2.5415586026229935,2,0
matched,6,myopic,source_repair,19.699577679132943,0.5733483321217108,-2.3649390642685963,0.01,2.287821486085924,13.945934914406326,0.07228053518217001,0,0,0.5733483321217097,1,2
matched,6,sequential,source_repair,19.699577679132943,0.5733483321217108,-2.3649390642685963,0.01,2.287821486085924,13.945934914406326,0.07228053518217001,0,0,0.5733483321217097,1,8
matched,7,stop,source_repair,0.7771407314456856,12.698328650709602,-13.128396822480514,0.01,-3.923428935453947,4.050830167326877,0.34818526966293595,0,0,0.0,0,0
matched,7,fixed,mechanism_repair,-3.4483220717945526,16.92379145394984,-13.882902386990889,0.01,-4.857129571535535,-0.09853303946379555,0.45777351042412456,0,0,3.29176216715865,2,0
matched,7,random,general,9.750254141642477,3.72521524051281,-2.867121145139422,0.01,3.54617615319876,3.035892605724436,0.09985499445501435,0,0,3.7252152405128096,2,0
matched,7,entropy,source_repair,-0.7011037701496964,14.176573152304984,-13.128396822480514,0.01,-3.923428935453947,6.132090384737713,0.679041040811019,0,0,1.478244501595382,2,0
matched,7,myopic,source_repair,-0.7011037701496964,14.176573152304984,-13.128396822480514,0.01,-3.923428935453947,6.132090384737713,0.679041040811019,0,0,1.478244501595382,2,2
matched,7,sequential,source_repair,-0.7011037701496964,14.176573152304984,-13.128396822480514,0.01,-3.923428935453947,6.132090384737713,0.679041040811019,0,0,1.478244501595382,2,8
matched,8,stop,source_repair,0.931018640353401,15.21266380305606,-15.727887710824447,0.01,-4.700288281395812,7.0600119154814465,0.7857736135269551,0,0,0.0,0,0
matched,8,fixed,general,12.423285242088822,3.7203972013206386,-3.434826051789248,0.01,4.248337485107752,1.2981734296772363,0.19563728560757546,0,0,3.7203972013206386,2,0
matched,8,random,general,12.423285242088822,3.7203972013206386,-3.434826051789248,0.01,4.248337485107752,1.2981734296772363,0.19563728560757546,0,0,3.7203972013206386,2,0
